TIPO,OBSERVACION
NA,NA
Libre,Si se desea contar orientador local se realiza un pago de 5 soles a la comunidad de Huando.
Libre,
Libre,
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos s/. 5.00 soles Niños s/. 3.00 soles
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifa única de s/. 3.00 , niños 5 años de edad. Tarifa de s/.5.00 soles por concepto de paseo en bote, a partir de los 5 años de edad. Encargado: Emilio J. Robles Guadalupe 956722798"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos S/ 3,00 y niños S/1.50"
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/. 10.00 soles Niños y Yauyinos S/. 5.00
Semi-restringido(previo permiso),Solicitar el permiso a la municipalidad distrital de Vilcabamba en la gerencia de desarrollo económico.
Libre,
Libre,
Otros (especificar),Mediante compra de Boleto de 5 soles
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Pago de 5 soles por ticket
NA,NA
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa: Escolares S/. 5.00 Adultos S/. 10.00 Campamentos S/. 20.00 Caminatas nocturnas S/. 15.00 - Coordinación con el Director del Proyecto Lomas de Asia: Iván Reyna Ramos 993027767
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa extranjero S/. 15.00 soles Tarifa nacional S/. 10.00 soles Tarifa visitante local S/. 5.00 soles
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Nacionales S/.10.00 Extranjeros S/.20.00 Niños no pagan
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Municipalidad Distrital de Checacupe Tarifas: Extranjero S/.10.00 Nacional S/.5.00 Local S/.2.00
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos : S./ 10.00 / Niños: S./ 6.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo de ingreso: Adultos S/ 10.00 - Niños S/ 5.00. Coordinar con la Asociación de Desarrollo Económico Sostenible Unidos por Palestina, al teléfono 968 374 777 o 949 424 662."
NA,NA
NA,NA
Semi-restringido(previo permiso),"Se recomienda solicitar autorización de ingreso a la Municipalidad Distrital de Yuracyacu, a través del Gerente de Desarrollo Económico y Gestión Ambiental, Ing. Samuel Cieza al teléfono 988 322 938."
NA,NA
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
Libre,
NA,NA
Libre,
NA,NA
Libre,
Libre,
Libre,"Previo registro en cuaderno, ingreso gratuito."
Libre,
Libre,
Libre,
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
Libre,
Semi-restringido(previo permiso),Coordinar previamente con la Municipalidad Distrital de Huasicancha - Unidad de Turismo: Cel. 996560655.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos nacionales: S/15.00 Niños nacionales: S/8.00 Adultos de la región: S/8.00 Niños de la región: S/3.00 Extranjeros (sea adulto o niño): S/30.00
NA,NA
Libre,
NA,NA
Semi-restringido(previo permiso),Previo permiso y coordinación con la comunidad campesina Cochabamba responsables del cuidado del Bosque.
NA,NA
Libre,
NA,NA
Libre,
NA,NA
Semi-restringido(previo permiso),Previa coordinación con el Presidente de la Comunidad Campesina de San Andrés de Tupicocha. Sr. Cacimiro Rueda Antiporta . Cel: 974368722
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",El costo de tarifa: Comunidades; s/ 2. 00 soles Distritos: s/ 3.00 soles Niños: s/ 1.00 sol Extranjeros: s/ 5.00 soles
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/ 5.00 - Niños S/ 2.50
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/.5.00 - Niños S/. 2.50
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos S/ 5.00 - Niños S/ 2.50. Para visitas guiadas previa coordinación con encargado de turismo Sr. Carlos Orosco, celular 995565340"
Semi-restringido(previo permiso),Previa coordinación con la encargada de comité de la iglesia. Sra. Buenaventura Savero Quispe. Celular: 956583587
NA,NA
Libre,
Libre,
NA,NA
Libre,
Libre,"Para el servicio de guiado o atención especializada, reservar mediante el siguiente link: https://wa.me/51934657998"
Libre,
Semi-restringido(previo permiso),"Previo registro vía página web https://asociacionunacem.org/santuariodeamancay/ visitas tienen costo de 60 soles por grupo de 10 personas. Luego de registro web, se confirmará por correo o teléfono."
Semi-restringido(previo permiso),"Reservas al 922369667 o al correo casablancafundoagro@gmail.com. Talleres S/. 20.00, Máx. 20 personas por taller. Experiencia “Cosecha y cómelo” S/. 15.00. Máx. 25 personas."
NA,NA
NA,NA
Libre,
Libre,
Libre,En coordinación con la comunidad. Presidente de la comunidad Sr. Gonzales Vilca Valeriano cel. 951666385
NA,NA
NA,NA
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",El ingreso es previa presentación de un ticket. Adultos: 2.00 nuevos soles. Niños: no pagan Se recomienda visitar este mirador entre los meses de mayo a noviembre.
Libre,
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),- Solo visita guiada (S/10.00 escolares y S/15.00 adultos) - Visita guiada más almuerzo (el precio varía dependiendo el menú elegido) Contactarse con la Sra Carmen Felipe al número 999184590
Libre,
Libre,
Semi-restringido(previo permiso),"Coordinaciones previas, contactar con el Sr. Piero Peirano Portella nº 995967384"
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",En soles: 1 día: Ext.: 30 / Nac.: Adulto: 15 - Menor: 8 /Loc: 8 2 - 3 días: Ext.: 60 / Nac: Adulto: 30 - Menor: 15 / Loc : 15 4 - 30 días: Ext.: 150 / Nac:Adulto: 75 / Menor: 35 / Loc: 35
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos s/.5.00 Niños s/.1.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",En soles: 1 día: Ext.: 30 / Nac.: Adulto: 15 - Menor: 8 /Loc : 8 2 - 3 días: Ext.: 60 / Nac.: Adulto: 30 - Menor: 15 / Loc : 15 4 - 30 días: Ext.: 150 / Nac.: Adulto: 75 / Menor: 35 / Loc : 35
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",En soles: 1 día: Ext.: 30 / Nac.: Adulto: 15 - Menor: 8 /Loc : 8 2 - 3 días: Ext.: 60 / Nac.: Adulto: 30 - Menor: 15 / Loc : 15 4 - 30 días: Ext.: 150 / Nac.: Adulto: 75 / Menor: 35 / Loc : 35
Semi-restringido(previo permiso),Previa coordinación con la Asociación de Gestores Ambientales de Lomas de Ancón (AGALA) y a Desert Expeditions para reservas de turismo de aventura Correo: i.desertexpeditions@gmail.com
Semi-restringido(previo permiso),"Previa coordinación en el párroco, Héctor Román Cruz, número de celular 988509308."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Para el ingreso al recurso turístico se debe presentar un ticket de ingreso, que tienen los costos: Niños S/. 0.00 Adultos S/. 5.00 Se alquila ropa de baño y flotadores."
Libre,"Llevar medidas de proteccion solar, ropa comoda para realizar caminata."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos S/ 2.00, niños S/ 0.50"
NA,NA
Libre,
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Extranjeros: S/. 10.00, Nacionales S/. 7.00, Niños S/. 5.00."
NA,NA
Libre,
NA,NA
Semi-restringido(previo permiso),"previo permiso, al SERNANP al celular N° 072 526489"
Semi-restringido(previo permiso),"previo permiso a la Administración del Club o con invitación de socio.Dirección: Grau 107, PacasmayoTeléfono: (044) 522029"
Libre,
NA,NA
NA,NA
Libre,
Semi-restringido(previo permiso),Coordinar previamente con Presidencia de la Comunidad Campesina de LLocllapampa - Cel.: 903324591; que brindará acceso y asignará personal de la comunidad para brindar orientación al visitante.
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
Libre,
Libre,
NA,NA
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),Coordinar la visita llamando al celular de la Parroquia: 964060709
Libre,
NA,NA
Semi-restringido(previo permiso),"Solicitar autorización de ingreso a la Municipalidad Distrital de Huaricolca - Sub Gerencia de Desarrollo Económico: Ing. Susan Rosales, Cel. 916543269. Brindaran personal de acompañamiento."
Libre,
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),"Previa reservación:Sra. Andrea Porteros Ventocilla,correo electrónico:lineadesangre.vinos@gmail.com, número de celular:986 649 785 / 971 266 758"
NA,NA
Libre,
Semi-restringido(previo permiso),"Permiso con la Jefatura del Parque Nacional Cerros de Amotape en las instalaciones de SERNANP . Solicitud dirigida al Ing. Juan La Rosa Boggio, cel n° 954342819."
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Semi-restringido(previo permiso),"Para visitar la Casa Museo, acercarse a la M.D. de Pucará, personal capacitado guiará al visitante o llamar previamente a la Sub Gerencia de Desarrollo Social - Cel.: 900557902."
Semi-restringido(previo permiso),"Previo registro garita de control, comunicarse con Área de Turismo de la Munic. Distrital de Huayhuay - Cel. 930211395 y/o Presidente del Comité de Turismo de la C.C de Huayhuay - Cel. 916900734."
Semi-restringido(previo permiso),"Previo registro garita de control, comunicarse con Área de Turismo de la M.D. de Huayhuay Cel. 930211395 y/o con el presidente del Comité de Turismo de la CC. de Huayhuay Cel. 916900734."
Libre,"Previo registro Garita de Control, comunicarse con Área de Turismo – Municip. Distrital Huay Huay, Cel. 930211395 y/o Presidente del Comité de Turismo Comunidad Campesina de Huay Huay, Cel. 916900734."
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos S/. 3.00, niños no pagan."
Libre,
Libre,
Libre,"Cierra al medio día. Atiende todos los días para mayor información comunicarse con el Sr. Julio Contreras Astudillo, Cel. 994885953"
NA,NA
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Previo pago: Adultos S/. 8.00 y niños S/. 5.00
NA,NA
Libre,"Previa coordinación con la Lic. Lisbeth Nolasco Zarate, Celular: 983792233,responsable de la oficina de Turismo de la Municipalidad Distrital de San Lorenzo de Quinti"
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),"Previa coordinación con los miembros de la Comunidad Campesina San Cristóbal de Rapaz. Sr. Miguel Gallardo Condor , Celular : 957450181"
NA,NA
Semi-restringido(previo permiso),Tarifa de ingreso: niños 5.00 soles y adultos 10.00 soles. Se recomienda contactar previamente a la Ing. Norma Vidalon al teléfono 964 627 783.
Libre,Se entrega tickets para contabilizar la afluencia de turistas a la Plaza Mayor
Semi-restringido(previo permiso),S/.5.00 entrada general y S/.10.00 extranjeros.
Libre,El Ingreso es libre; la presentación de los tickets es para saber cuantas personas ingresan.
Libre,
Libre,
NA,NA
Libre,
NA,NA
Libre,
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto: 5.00 soles y Niño 3.00 soles
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),"Coordinar con el Presidente de la Comunidad; cel: 910385301, Felipe Zaira"
NA,NA
Semi-restringido(previo permiso),Solicitar Permiso al encargado de llaves
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto Extranjero S/. 30.00 soles Niño Extranjero 15.00 soles Adulto Nacional S/. 15.00 soles Niño Nacional S/. 7.50 soles
Libre,En el Caserío Faique Quemado hay guías voluntarios que te acompañan en el recorrido.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto Nacional S/. 3.00 soles Adulto Extranjero S/. 5.00 soles Niño nacional o extranjero S/. 2.00 soles
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Visita Extranjeros S/. 10.00 Nacionales S/. 5.00 Locales S/. Gratuito previa presentación del DNI
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
NA,NA
Libre,
NA,NA
Libre,En la época seca (de mayo a setiembre) es propicia
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tina: S/. 1.50, Piscina: S/.1.00, Socavón: S/.1.50."
Libre,
Semi-restringido(previo permiso),previo permiso por la comunidad de Colpa.
Libre,
Libre,
Otros (especificar),El precio de ingreso en general es S/ 20.00 nuevos
Semi-restringido(previo permiso),El ingreso es previa coordinación con el presidente de la Comunidad.
Libre,
Libre,
Libre,
Libre,"Se debe ingresar a la Universidad, ya que la sala de interpretación se encuentra en el interior."
Libre,
NA,NA
Libre,
Libre,
NA,NA
Libre,
Libre,
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
Libre,"Se paga un derecho por ingresar a la comunidad, a la Asociación para el turismo comunitario. En la comunidad también pueden observar Victoria Regia y variedad de flora y fauna"
Libre,"El acceso a la comunidad es libre. Sin embargo, existe la costumbre de que el visitante deje un aporte económico voluntario ."
Libre,
Libre,
Libre,El acceso a la comunidad es libre
Libre,El acceso a la comunidad es libre
Libre,
Libre,El acceso a la isla y a la comunidad es libre
Libre,El acceso a la comunidad es libre
NA,NA
Libre,
Semi-restringido(previo permiso),Previa coordinación con el Presidente de la Comisión de Turismo de la Comunidad campesina de Huacho. Sr. Nestor Evangelista Beteta . Cel: 992654153
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifario extranjero S/ 20.00 ruta corta, S/. 40 ruta larga, Tarifario Nacional S/10.00 ruta corta, S/. 20 ruta Larga y Tarifario Local S/ 5.00 ruta corta, S/. 10 ruta Larga."
Libre,
NA,NA
Semi-restringido(previo permiso),"olicitar autorización con documento por mesa de partes virtual: https://sisgedo3.regionlambayeque.gob.pe/mpartes_virtual/?pass=Mg==, o por email a: grrn@regionlambyeque.gob.pe, a G.R. RR.NN."
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto: S/. 2.00 Ingreso libre para niños
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Se solicita permiso al jefe de la Reserva Comunal Purús para ingresar al área protegida a través de una carta de solicitud.
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Se debe coordinar con los administradores de la Comunidad. Celular de Oficina 965492024.
Semi-restringido(previo permiso),Se permite la visita previa coordinacion con los administradores de la Comunidad Nativa De Kotsimba Cel:965492024
Libre,
Libre,"No existe ninguna restricción, es un lugar de paso a otros distritos de la provincia de San Marcos."
Semi-restringido(previo permiso),"Comunicarse con el presidente de la Comunidad Nativa Kotsimba, Plinio Pilco 961490606 o con el gerente Jorge Isaac 984324080."
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Niños y Estudiantes s/. 2.50; Adultos s/. 3.00
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/ 5.00 - Niños S/ 3.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto: S/ 3.00 Niño : S/ 2.00 Estudiante: S/ 3.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto: S/ 5.00 Niño y/o escolar: S/3.00 Universitario: S/ 3.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","10 soles de entrada general, se paga a a la comunidad"
Libre,"El ingreso al mirador es libre, a pesar de que la collpa está dentro de la propiedad de CREES Manu S.A.C."
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",EXTRANJEROS S/ 30.00 NACIONALES S/ 20.00 NIÑOS S/.5.00 ESTUDIANTES S/.10.00
Libre,Los visitantes pueden acceder por los senderos y grutas de manera libre. Se recomienda solicitar el acompañamiento de un orientador local.
